link.id,resource,resource.lifestage,consumer,consumer.lifestage,link.evidence,full.source,res.genus,res.subfamily,res.family,res.order,res.class,res.category,con.genus,con.subfamily,con.family,con.order,con.class,con.category
1,Cloeon,NA,Tetragnatha extensa,adults/juvenile,inferred - stable isotope analysis,"Wieczorek, M. , Kotter, D., Gergs, R.  and Schulz, R. 2015.  Using stable isotope analysis in stream mesocosms to study potential effects of environmental chemicals on aquatic-terrestrial subsidies. Environ Sci Pollut Res (2015) 22:12892–12901. DOI 10.1007/s11356-015-4071-0",Cloeon,NA,Baetidae,Ephemeroptera,Insecta,herbivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
2,Chironomidae,NA,Tetragnatha extensa,adults/juvenile,inferred - stable isotope analysis,"Wieczorek, M. , Kotter, D., Gergs, R.  and Schulz, R. 2015.  Using stable isotope analysis in stream mesocosms to stud potential effects of environmental chemicals on aquatic-terrestrial subsidies. Environ Sci Pollut Res (2015) 22:12892–12901. DOI 10.1007/s11356-015-4071-0",NA,NA,Chironomidae,Diptera,Insecta,omnivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
3,Cicadinae,NA,Tetragnatha extensa,adults/juvenile,observed,"Nyffeler, M. and Benz, G. (1989).  Foraging ecology and predatory importance of a guild of orb weaving spiders in a grassland habitat Journal of Applied Entomology 107(1-5), https://doi.org/10.1111/j.1439-0418.1989.tb00246.x",NA,Cicadinae,Cicadidae,Hemiptera,Insecta,herbivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
4,Aphidina,NA,Tetragnatha extensa,adults/juvenile,observed,"Nyffeler, M. and Benz, G. (1989).  Foraging ecology and predatory importance of a guild of orb weaving spiders in a grassland habitat Journal of Applied Entomology 107(1-5), https://doi.org/10.1111/j.1439-0418.1989.tb00246.x",NA,Aphidinae,Aphididae,Hemiptera,Insecta,herbivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
5,Trichoptera,NA,Tetragnatha extensa,adults/juvenile,observed,"Nyffeler, M. and Benz, G. (1989).  Foraging ecology and predatory importance of a guild of orb weaving spiders in a grassland habitat Journal of Applied Entomology 107(1-5), https://doi.org/10.1111/j.1439-0418.1989.tb00246.x",NA,NA,NA,Trichoptera,Insecta,predators/herbivores,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
6,Coleoptera,NA,Tetragnatha extensa,adults/juvenile,observed,"Nyffeler, M. and Benz, G. (1989).  Foraging ecology and predatory importance of a guild of orb weaving spiders in a grassland habitat Journal of Applied Entomology 107(1-5), https://doi.org/10.1111/j.1439-0418.1989.tb00246.x",NA,NA,NA,Coleoptera ,Insecta,fungivore/ herbivor/detritivore/ predator,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
7,Chrysopidae,NA,Tetragnatha extensa,adults/juvenile,observed,"Nyffeler, M. and Benz, G. (1989).  Foraging ecology and predatory importance of a guild of orb weaving spiders in a grassland habitat Journal of Applied Entomology 107(1-5), https://doi.org/10.1111/j.1439-0418.1989.tb00246.x",NA,NA,Chrysopidae,Neuroptera,Insecta,nectivore/predator,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
8,Aranea,NA,Tetragnatha extensa,adults/juvenile,observed,"Nyffeler, M. and Benz, G. (1989).  Foraging ecology and predatory importance of a guild of orb weaving spiders in a grassland habitat Journal of Applied Entomology 107(1-5), https://doi.org/10.1111/j.1439-0418.1989.tb00246.x",NA,NA,NA,Aranea,Arachnida,predator,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
9,Diptera,NA,Tetragnatha extensa,adults/juvenile,observed,"Nyffeler, M. and Benz, G. (1989).  Foraging ecology and predatory importance of a guild of orb weaving spiders in a grassland habitat Journal of Applied Entomology 107(1-5), https://doi.org/10.1111/j.1439-0418.1989.tb00246.x",NA,NA,NA,Diptera,Insecta,herbivore/ scavenger/ detritivore/  predator/  parasite,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
10,Tipula,NA,Tetragnatha extensa,adults/juvenile,observed,"West, H., and Toft, S. (1999). Last male sperm priority and the mating system of the haplogyne spider Tetragnatha extensa (Araneae: Tetragnathidae), Journal of Insect Behavior, 12, 4",Tipula,Tipulinae,Tipulidae,Diptera,Insecta,detritivore/fungivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
11,Cicadellidae,NA,Tetragnatha extensa,NA,observed,"Nasir, M.,  Zhao, C.,  Ji-chao J , Luo , J.,  Zha, S.,  Zhu , X., and  Cui, J.. 2021. Population dynamics, hunting nature on insect pests and existence of symbiotic bacterial microbes among leading transgenic cotton spiders . Journal of Asia-Pacific Entomology 24 (2021) 297–307",NA,NA,Cicadellidae,Hemiptera,Insecta,herbivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
12,Lepidoptera,larvae,Tetragnatha extensa,NA,observed,"Nasir, M.,  Zhao, C.,  Ji-chao J , Luo , J.,  Zha, S.,  Zhu , X., and  Cui, J.. 2021. Population dynamics, hunting nature on insect pests and existence of symbiotic bacterial microbes among leading transgenic cotton spiders . Journal of Asia-Pacific Entom",NA,NA,NA,Lepidoptera,Insecta,herbivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
13,Lepidoptera,adults,Tetragnatha extensa,NA,observed,"Nasir, M.,  Zhao, C.,  Ji-chao J , Luo , J.,  Zha, S.,  Zhu , X., and  Cui, J.. 2021. Population dynamics, hunting nature on insect pests and existence of symbiotic bacterial microbes among leading transgenic cotton spiders . Journal of Asia-Pacific Entom",NA,NA,NA,Lepidoptera,Insecta,nectivore,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
14,Tricholauxania preusta,NA,Tetragnatha montana,NA,observed,"Tarwid, K 1976. Alternative resistance of fly  Tricholauxania- preutsa meig to predation by spider Terhragnatha -Montana Say.  Bulletin de l'Academie Polonaise des Sciences. Serie des Sciences Biologiques, 24, 517 - 519.",Tricholauxania,NA,Lauxaniidae,Diptera,Insecta,saprophage,Tetragnatha,NA,Tetragnathidae,Araneae,Arachnida,predator
